N_exp,N,Runtime,Name
10^10,10000000000,0.118080458,Bucket Hashing (4)
10^11,100000000000,0.628819573,Bucket Hashing (4)
10^12,1000000000000,3.680537307,Bucket Hashing (4)
10^13,10000000000000,22.871957003,Bucket Hashing (4)
10^10,10000000000,0.111337054,Bucket Hashing (8)
10^11,100000000000,0.556248815,Bucket Hashing (8)
10^12,1000000000000,3.246102980,Bucket Hashing (8)
10^13,10000000000000,17.599256810,Bucket Hashing (8)
10^10,10000000000,0.113985425,Bucket Hashing (16)
10^11,100000000000,0.612959630,Bucket Hashing (16)
10^12,1000000000000,3.710770120,Bucket Hashing (16)
10^13,10000000000000,21.794560877,Bucket Hashing (16)
10^10,10000000000,0.121895844,Bucket Hashing (32)
10^11,100000000000,0.841114249,Bucket Hashing (32)
10^12,1000000000000,5.064314141,Bucket Hashing (32)
10^13,10000000000000,29.512504411,Bucket Hashing (32)

